const,TOT_POP,White-alone pop,Black-alone pop,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,county_pop2018_18 and older,Urban_rural_code,Age_0_19,Age_20_39,Age_40_59,Age_60+,Other_races,Indice_Profesionales_Disponibles,Indice_Capacidad_Medica,y
1.0,117123,102915,9101,2116,895,11.7,9.2,2.5,-0.1,15.7,15.6,8671,29143,23594,16315,13275,16.0,14.4,59619,54264,2312,4.1,59619,135.4,61.09641761,43.32527278,3.632058796,63.30159616,80.48901725,181.7975144,20,89893,3,29586,31185,31829,24523,5107,117.36666666666667,453.641876996,111692
1.0,151366,122615,10978,1670,16066,14.8,6.0,8.8,-0.4,2.7,2.3,24270,23540,32073,12438,25481,23.2,22.4,58255,53384,4481,7.7,58255,77.4,58.98204793,30.2945941,1.373722279,85.57256635,58.15551864,224.8886687,22,110402,4,44910,49532,34892,22032,17773,120.01666666666671,481.267117999,114393
1.0,22300,15164,6610,-280,199,11.2,10.3,0.8,0.4,-13.8,-13.3,4103,6798,3049,1589,4562,28.7,27.8,48120,8345,596,6.7,48120,100.2,11.31275727,3.670425054,0.75609799,11.99707381,8.575491129,35.85722937,0,17508,6,5279,5486,5940,5595,526,111.48333333333333,72.169074623,22938
1.0,13188,12469,103,93,102,12.9,6.8,6.0,0.5,0.7,1.1,803,3570,2960,1514,1614,16.7,15.7,59500,7302,277,3.7,59500,82.7,6.703332629,5.202897553,0.206078274,5.795662028,6.305068998,16.87757911,0,9770,5,3692,3265,3258,2973,616,124.56666666666666,41.090618592,8628
1.0,446610,266678,66167,2733,11396,11.6,8.1,3.4,1.4,1.4,2.7,36031,69822,115304,78496,34281,10.2,9.4,82808,201553,8168,3.9,82808,110.0,174.0283315,89.38512394,4.053209485,252.4844672,171.5896316,663.5408765,92,347870,3,108704,124695,113694,99517,113765,120.01666666666671,1447.081640225,307648
1.0,5478,4475,29,28,131,14.6,11.9,2.7,-0.5,3.1,2.6,362,1560,1108,830,1061,28.9,30.1,45710,2999,79,2.6,45710,80.1,2.936965774,2.508528907,0.353926108,2.104928959,3.359193412,5.948442308,0,4214,6,1379,1142,1361,1596,974,109.14999999999999,17.211985467999998,4682
1.0,13345,12463,634,134,1944,9.4,11.7,-2.3,0.0,12.3,12.3,2622,3650,2229,1340,3102,32.2,30.2,35848,4193,283,6.3,35848,71.4,8.762468104,2.944714912,0.313585259,5.898389402,5.674399931,19.28101366,0,10907,6,2670,3753,3743,3179,248,101.93333333333332,42.874571268,15163
1.0,142854,93812,2089,1747,12364,11.0,6.2,4.8,1.0,6.4,7.4,8515,17604,26746,29254,20964,17.3,17.7,60187,72850,4233,5.5,60187,101.9,67.7852981,38.64339651,1.653299954,66.23159453,53.56293465,184.6317744,41,113400,4,38493,48299,30084,25978,46953,105.05000000000001,453.50829814400004,90436
1.0,7090,6674,58,107,0,7.0,8.4,-1.4,-0.3,16.6,16.3,298,1465,1409,2048,579,12.4,11.3,67746,3925,129,3.2,67746,111.2,4.347061068,2.796156468,0.158486601,4.720636629,4.222535881,13.69777055,0,5812,4,1410,1490,2040,2150,358,160.53333333333333,29.942647197,5754
1.0,22107,20495,150,357,198,9.8,9.8,0.0,-0.3,16.6,16.2,1916,3992,5248,4526,2799,18.1,17.5,56503,9503,573,5.7,56503,76.3,8.90958108,5.597458248,0.269898406,10.99542637,12.95805717,32.61370196,0,17828,6,4664,4507,5733,7203,1462,121.73333333333335,71.344123234,17515
